,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
847,Paramedian lobule molecular layer,381559.90842,309203.256169,72356.6522513,283390.994658,25546.680234,265.581277029,21133.5538031,23907.4026965,27315.6957517,PRMmo
848,Paramedian lobule granular layer,1917178.07227,1761803.40576,155374.666506,1757879.68951,3371.41665111,552.299601454,31919.544142,71560.0399644,51895.0823992,PRMgr
849,Copula pyramidis,1157015.75207,1038911.56643,118104.185646,1019854.57075,18296.920809,760.074867905,25393.0730625,50625.5445315,42085.5680519,COPY
850,Copula pyramidis molecular layer,440415.022797,353215.86262,87199.1601774,322354.511696,30278.7396393,582.611284333,22072.0429939,31645.5196403,33481.5975432,COPYmo
851,Copula pyramidis granular layer,1960480.22768,1807724.82125,152755.406426,1801903.06203,4862.70927393,959.049944662,29116.6663739,71906.2593328,51732.4807196,COPYgr
852,Paraflocculus,978476.287643,897630.947326,80845.3403174,858614.609012,38787.9838013,228.354512629,15353.1931386,32353.7488636,33138.3983152,PFL
853,Paraflocculus molecular layer,281692.979648,230097.20487,51595.7747788,199448.284407,30482.7201669,166.200295311,13517.4037399,19074.7054633,19003.6655756,PFLmo
854,Paraflocculus granular layer,1837023.39073,1720137.96525,116885.42548,1670811.64638,49021.3805431,304.93832658,17615.1756691,48715.627962,50554.6218487,PFLgr
855,Flocculus,893119.552996,783754.874905,109364.678092,766754.204854,16268.7472318,731.922819211,29776.9752308,45228.7599514,34358.9429094,FL
856,Flocculus molecular layer,326949.690748,247090.140067,79859.5506812,226450.551553,20119.9600417,519.628472444,24528.6403537,30647.1976025,24683.712725,FLmo
857,Flocculus granular layer,1542756.80421,1399537.21588,143219.588333,1386711.93054,11849.7707541,975.514583943,35799.0439957,61960.0039021,45460.5404351,FLgr
858,Cerebellar nuclei,308100.054702,183068.675717,125031.378985,168276.493113,12686.8566314,2105.32597344,16373.166244,72860.5102193,35797.7025213,CBN
859,Fastigial nucleus,287149.445059,160905.598558,126243.8465,157938.485481,1247.65532211,1719.45775484,14819.838637,79378.1381824,32045.869681,FN
860,Interposed nucleus,311706.24884,188416.447944,123289.800896,174175.561388,11806.0393966,2434.84715926,14953.5247488,67780.3759379,40555.9002094,IP
861,Dentate nucleus,328620.765027,201617.486339,127003.278689,169911.256831,29765.2459016,1940.98360656,21371.8032787,74635.1912568,30996.284153,DN
862,fiber tracts,137339.224993,0.0,137339.224993,0.0,0.0,0.0,19040.7820145,85734.5173788,32563.9255997,fiber tracts
863,cranial nerves,92325.8238674,0.0,92325.8238674,0.0,0.0,0.0,13780.743855,53974.0735582,24571.0064542,cm
864,vomeronasal nerve,141613.259669,0.0,141613.259669,0.0,0.0,0.0,54346.961326,38046.4088398,49219.8895028,von
865,olfactory nerve,117133.169603,0.0,117133.169603,0.0,0.0,0.0,12006.008727,47991.6068576,57135.5540189,In
866,olfactory nerve layer of main olfactory bulb,101169.511584,0.0,101169.511584,0.0,0.0,0.0,9908.79916412,24999.7334556,66260.9789643,onl
867,lateral olfactory tract general,126210.117607,0.0,126210.117607,0.0,0.0,0.0,18795.5658095,70505.8803669,36908.671431,lotg
868,lateral olfactory tract body,122943.286476,0.0,122943.286476,0.0,0.0,0.0,18995.9795843,71452.7672436,32494.5396481,lot
869,dorsal limb,369460.721868,0.0,369460.721868,0.0,0.0,0.0,3872.61146497,0.0,365588.110403,lotd
870,anterior commissure olfactory limb,147706.722886,0.0,147706.722886,0.0,0.0,0.0,10844.9025273,83291.949715,53569.8706437,aco
871,optic nerve,100548.902409,0.0,100548.902409,0.0,0.0,0.0,27184.1178354,62116.9103782,11247.874195,IIn
872,brachium of the superior colliculus,138569.886023,0.0,138569.886023,0.0,0.0,0.0,32304.7390522,72907.0185963,33358.1283743,bsc
873,superior colliculus commissure,133597.471022,0.0,133597.471022,0.0,0.0,0.0,28257.1127503,82883.0347734,22457.3234984,csc
874,optic chiasm,62381.7790874,0.0,62381.7790874,0.0,0.0,0.0,17507.3664092,42685.3547822,2189.05789599,och
875,optic tract,98535.2035953,0.0,98535.2035953,0.0,0.0,0.0,28961.4598938,64854.1468065,4719.596895,opt
876,oculomotor nerve,79776.630492,0.0,79776.630492,0.0,0.0,0.0,12691.6025709,61408.9137077,5676.11421347,IIIn
877,medial longitudinal fascicle,77319.9978018,0.0,77319.9978018,0.0,0.0,0.0,11671.3744024,60068.8025499,5579.82084959,mlf
878,posterior commissure,136723.566879,0.0,136723.566879,0.0,0.0,0.0,36341.4012739,92473.8853503,7908.28025478,pc
879,trigeminal nerve,63938.7486541,0.0,63938.7486541,0.0,0.0,0.0,9788.30535285,47551.8868552,6598.55644615,Vn
880,motor root of the trigeminal nerve,84703.9946515,0.0,84703.9946515,0.0,0.0,0.0,10220.9593849,61983.6202574,12499.4150092,moV
881,sensory root of the trigeminal nerve,66261.0543758,0.0,66261.0543758,0.0,0.0,0.0,10815.3671584,47851.5876875,7594.09952991,sV
882,midbrain tract of the trigeminal nerve,130401.766004,0.0,130401.766004,0.0,0.0,0.0,22746.1368653,90490.0662252,17165.5629139,mtV
883,spinal tract of the trigeminal nerve,65733.4204983,0.0,65733.4204983,0.0,0.0,0.0,10717.2223433,47500.8353309,7515.36282414,sptV
884,facial nerve,58830.7399929,0.0,58830.7399929,0.0,0.0,0.0,8126.38080532,47884.0717425,2820.28744506,VIIn
885,genu of the facial nerve,64000.0,0.0,64000.0,0.0,0.0,0.0,6780.71101725,50393.5234073,6825.7655755,gVIIn
886,vestibulocochlear nerve,75924.3649565,0.0,75924.3649565,0.0,0.0,0.0,14251.597063,57173.9489638,4498.81892971,VIIIn
887,vestibular nerve,64828.8023512,0.0,64828.8023512,0.0,0.0,0.0,10850.8449669,45725.2020573,8252.75532697,vVIIIn
888,cochlear nerve,76940.0706247,0.0,76940.0706247,0.0,0.0,0.0,14611.0814724,57995.1731321,4333.81602012,cVIIIn
889,trapezoid body,55105.7007126,0.0,55105.7007126,0.0,0.0,0.0,11619.9524941,42457.2446556,1028.50356295,tb
890,lateral lemniscus,82200.6248195,0.0,82200.6248195,0.0,0.0,0.0,13419.6529364,63797.537476,4983.43440708,ll
891,inferior colliculus commissure,95140.9395973,0.0,95140.9395973,0.0,0.0,0.0,11167.7852349,63355.704698,20617.4496644,cic
892,brachium of the inferior colliculus,105385.910501,0.0,105385.910501,0.0,0.0,0.0,23951.5581155,72530.4977108,8903.85467435,bic
893,vagus nerve,124152.62779,0.0,124152.62779,0.0,0.0,0.0,14421.8862491,76371.4902808,33359.2512599,Xn
894,solitary tract,124152.62779,0.0,124152.62779,0.0,0.0,0.0,14421.8862491,76371.4902808,33359.2512599,ts
895,dorsal roots,82093.9852445,0.0,82093.9852445,0.0,0.0,0.0,10167.0126297,66636.9888708,5289.9837439,drt
896,cervicothalamic tract,82093.9852445,0.0,82093.9852445,0.0,0.0,0.0,10167.0126297,66636.9888708,5289.9837439,cett
897,dorsal column,121057.706355,0.0,121057.706355,0.0,0.0,0.0,4745.06939372,34991.9649379,81320.6720234,dc
898,cuneate fascicle,127458.544839,0.0,127458.544839,0.0,0.0,0.0,5333.33333333,39905.2453469,82219.9661591,cuf
899,gracile fascicle,80598.9304813,0.0,80598.9304813,0.0,0.0,0.0,1026.73796791,3935.82887701,75636.3636364,grf
900,medial lemniscus,80712.6579656,0.0,80712.6579656,0.0,0.0,0.0,10359.229335,67758.8564326,2594.57219805,ml
901,cerebellum related fiber tracts,262117.678727,0.0,262117.678727,0.0,0.0,0.0,41501.382223,140649.588294,79966.7082096,cbf
902,cerebellar commissure,146442.696151,0.0,146442.696151,0.0,0.0,0.0,28574.1016373,73386.3491388,44482.2453753,cbc
903,cerebellar peduncles,87953.8774091,0.0,87953.8774091,0.0,0.0,0.0,18775.0669571,58349.5189463,10829.2915058,cbp
904,superior cerebelar peduncles,69359.6152704,0.0,69359.6152704,0.0,0.0,0.0,13283.144333,52322.2703794,3754.2005581,scp
905,superior cerebellar peduncle decussation,72243.2728068,0.0,72243.2728068,0.0,0.0,0.0,6248.08575804,64213.5200175,1781.66703128,dscp
906,ventral spinocerebellar tract,62175.4592212,0.0,62175.4592212,0.0,0.0,0.0,16457.7026696,44144.0117561,1573.74479549,sctv
907,middle cerebellar peduncle,115566.021867,0.0,115566.021867,0.0,0.0,0.0,27878.2668286,67668.1930038,20019.5620347,mcp
908,inferior cerebellar peduncle,71867.1326509,0.0,71867.1326509,0.0,0.0,0.0,12141.6509449,52403.6742647,7321.80744131,icp
909,arbor vitae,411650.954154,0.0,411650.954154,0.0,0.0,0.0,60910.8615139,211908.732201,138831.360439,arb
910,lateral forebrain bundle system,100321.866413,0.0,100321.866413,0.0,0.0,0.0,10472.0989661,79141.8606392,10707.9068077,lfbs
911,corpus callosum,108007.542351,0.0,108007.542351,0.0,0.0,0.0,7588.50617887,84273.2374263,16145.7987454,cc
912,corpus callosum anterior forceps,112395.914369,0.0,112395.914369,0.0,0.0,0.0,8474.5230035,84371.1988205,19550.1925446,fa
913,external capsule,117728.16109,0.0,117728.16109,0.0,0.0,0.0,8536.80781759,81872.4311519,27318.9221202,ec
914,genu of corpus callosum,96237.8121284,0.0,96237.8121284,0.0,0.0,0.0,5374.55410226,83273.8803012,7589.37772493,ccg
915,corpus callosum posterior forceps,106652.861035,0.0,106652.861035,0.0,0.0,0.0,8636.51226158,79008.1743869,19008.1743869,fp
916,corpus callosum splenium,110997.275204,0.0,110997.275204,0.0,0.0,0.0,6568.57402361,86198.0018165,18230.6993642,ccs
917,corticospinal tract,89130.4057995,0.0,89130.4057995,0.0,0.0,0.0,14315.6403633,71800.8499292,3013.91550704,cst
918,internal capsule,97803.7204198,0.0,97803.7204198,0.0,0.0,0.0,10521.6427188,81500.3527791,5781.72492188,int
919,cerebal peduncle,88035.2164343,0.0,88035.2164343,0.0,0.0,0.0,18490.8854902,68772.729838,771.601106157,cpd
920,pyramid,63411.2862621,0.0,63411.2862621,0.0,0.0,0.0,16009.2954801,47208.6447965,193.345985515,py
921,thalamus related,111268.931729,0.0,111268.931729,0.0,0.0,0.0,13632.9747577,83771.2216423,13864.7353286,lfbst
922,external medullary lamina of the thalamus,111828.533155,0.0,111828.533155,0.0,0.0,0.0,13870.9533378,85108.2830989,12849.296718,em
923,internal medullary lamina of the thalamus,99638.0510441,0.0,99638.0510441,0.0,0.0,0.0,8686.774942,55981.4385151,34969.837587,im
924,extrapyramidal fiber systems,76353.0591775,0.0,76353.0591775,0.0,0.0,0.0,9618.18789702,63606.8204614,3128.05081912,eps
925,tectospinal pathway,77164.1490433,0.0,77164.1490433,0.0,0.0,0.0,6014.09869084,62400.8056395,8749.24471299,tsp
926,doral tegmental decussation,75980.2955665,0.0,75980.2955665,0.0,0.0,0.0,5021.8156228,70958.4799437,0.0,dtd
927,rubrospinal tract,75949.9499499,0.0,75949.9499499,0.0,0.0,0.0,11409.4094094,64206.2062062,334.334334334,rust
928,ventral tegmental decussation,95879.6540053,0.0,95879.6540053,0.0,0.0,0.0,7413.31327567,87972.9221512,493.418578413,vtd
929,medial forebrain bundle system,112307.062174,0.0,112307.062174,0.0,0.0,0.0,12563.0539823,78772.6472753,20971.3609165,mfbs
930,cerebrum related,109442.688127,0.0,109442.688127,0.0,0.0,0.0,11640.1478543,78704.3783752,19098.1618977,mfbc
931,amygdalar capsule,116874.209417,0.0,116874.209417,0.0,0.0,0.0,6948.69992973,76081.5179199,33843.9915671,amc
932,anterior commissure temporal limb,80200.0974501,0.0,80200.0974501,0.0,0.0,0.0,11241.8385577,68838.7201559,119.538736398,act
933,cingulum bundle,103274.50183,0.0,103274.50183,0.0,0.0,0.0,3593.3306222,81389.1825946,18291.9886133,cing
934,fornix system,110410.855898,0.0,110410.855898,0.0,0.0,0.0,10891.5530657,78255.0887021,21264.2141301,fxs
935,alveus,111203.522051,0.0,111203.522051,0.0,0.0,0.0,9004.71151618,78447.2078474,23751.6026879,alv
936,dorsal fornix,97813.9248306,0.0,97813.9248306,0.0,0.0,0.0,8668.72047648,77946.1901828,11199.0141713,df
937,fimbria,114392.543347,0.0,114392.543347,0.0,0.0,0.0,14470.7179367,78956.0685531,20965.756857,fi
938,postcommissural fornix,102195.49955,0.0,102195.49955,0.0,0.0,0.0,10115.5715572,87523.3123312,4556.61566157,fxpo
939,columns of the fornix,102195.49955,0.0,102195.49955,0.0,0.0,0.0,10115.5715572,87523.3123312,4556.61566157,fx
940,hippocampal commissures,106570.069964,0.0,106570.069964,0.0,0.0,0.0,7950.32861859,73609.5950571,25010.1462883,hc
941,dorsal hippocampal commissure,101861.527149,0.0,101861.527149,0.0,0.0,0.0,5745.113975,74105.6542436,22010.7589303,dhc
942,ventral hippocampal commissure,123519.643355,0.0,123519.643355,0.0,0.0,0.0,15888.5483422,71823.9063806,35807.1886319,vhc
943,stria terminalis,113402.263689,0.0,113402.263689,0.0,0.0,0.0,23406.5463444,82338.3297645,7657.3875803,st
944,hypothalamus related,132043.806217,0.0,132043.806217,0.0,0.0,0.0,18922.2660565,79243.0487612,33878.4913997,mfsbshy
945,supramammillary decussation,131893.80531,0.0,131893.80531,0.0,0.0,0.0,33415.9292035,69168.1415929,29309.7345133,smd
946,mammillary related,108307.114346,0.0,108307.114346,0.0,0.0,0.0,10800.6574313,91506.9265086,5999.5304062,mfbsma
947,principal mammillary tract,133109.780439,0.0,133109.780439,0.0,0.0,0.0,16606.7864271,74283.4331337,42219.5608782,pm
948,mammilothalmic tract,101083.172147,0.0,101083.172147,0.0,0.0,0.0,6235.97678917,90382.9787234,4464.21663443,mtt
949,mammillotegmental tract,112105.332456,0.0,112105.332456,0.0,0.0,0.0,13082.2909809,95431.20474,3591.83673469,mtg
950,mammillary peduncle,115321.470937,0.0,115321.470937,0.0,0.0,0.0,21523.1316726,93115.0652432,683.274021352,mp
951,epithalamus related,140947.919877,0.0,140947.919877,0.0,0.0,0.0,21679.4188862,74844.6401057,44423.8608849,mfbse
952,stria medullaris,155368.391091,0.0,155368.391091,0.0,0.0,0.0,26794.5634384,80137.7641785,48436.063474,sm
953,fasciculus retroflexus,109841.840783,0.0,109841.840783,0.0,0.0,0.0,9203.91430838,63826.5009257,36811.4255488,fr
954,habenular commissure,170560.0,0.0,170560.0,0.0,0.0,0.0,42094.5454545,82967.2727273,45498.1818182,hbc
